what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407107907526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107928443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107928642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107928868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107929066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107929430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107929769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407107930205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407107945407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407107946315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407107959739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407108011584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108168033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108201639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108489180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108533910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407108549475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108555938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108561476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407108573414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108576134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407108590046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407108945114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407108945309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407108945726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407108945998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407108946227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1407108946686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407108961398
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1407109228476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407110987104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407111077101
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1407111250427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407111907969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407111923237
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1407112347346
